,Validation_Participants,Accuracies
0,"['KV95IU', 'KV12QU', 'NA55PL']",75.9493670886076
1,"['YL41EA', 'NM98CK', 'ZL95ND']",83.75
2,"['VY42QL', 'UD92OY', 'YA44DK']",87.34177215189874
3,"['LQ36NZ', 'LA91II', nan]",78.75
4,"['QO43HQ', 'ZM16WQ ', 'WD22DM']",81.0126582278481
5,"['KV12QU', 'OV15AP', 'QN69AU']",82.5
6,"['CI91BX', 'FM91WU', 'OV15AP']",86.07594936708861
7,"['VX18PR', 'YJ23HT', 'RD14HS']",75.9493670886076
8,"[nan, 'CI91BX', 'DE37RF']",86.25
9,"['LT59ZV', 'ZL95ND', 'NM98CK']",85.0
10,"['DH66UK', 'MV65UY', 'LK89WR']",81.25
11,"[nan, 'ED18OV', 'XT54MI']",80.0
12,"['VX18PR', 'CL98XS', 'OP26ZM']",87.34177215189874
13,"['LA91II', 'WT95ZS', 'DE37RF']",75.9493670886076
14,"['MV65UY', 'ZL95ND', 'KJ56MP']",81.25
15,"['CU97KJ', 'LM49EN', 'UD92OY']",90.0
16,"['OB23LL', 'QO43HQ', 'VO99WV']",79.74683544303798
17,"['GN93LI', 'YA44DK', 'WT95ZS']",74.68354430379746
18,"['PT48QJ', 'HA55SU', 'RS69PX']",86.25
19,"['WD22DM', 'VX18PR', 'LA91II']",75.9493670886076
